truth	predict	accuracy
[1]	[1]	1.0
[2]	[2]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[0, 1, 2]	[0]	0.3333333333333333
[0]	[0]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[0]	[1]	0.0
[2]	[2]	1.0
[1, 2]	[1]	0.5
[0]	[0]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[0, 2]	[0]	0.5
[1]	[1]	1.0
[2]	[2]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[2]	[0]	0.0
[1]	[1]	1.0
[0, 2]	[0]	0.5
[1]	[1]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[0]	[1]	0.0
[2]	[2]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[0, 1, 2]	[0]	0.3333333333333333
[2]	[2]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[2]	[0]	0.0
[0, 2]	[0]	0.5
[0]	[0]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[1]	[2]	0.0
[1]	[1]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[2]	[0]	0.0
[0]	[0]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[0, 1]	[1]	0.5
