truth	predict	accuracy
[3]	[3]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[3]	[3]	1.0
[2]	[2]	1.0
[3]	[3]	1.0
[0]	[0]	1.0
[4]	[4]	1.0
[2]	[2]	1.0
[2, 3]	[2]	0.5
[3]	[3]	1.0
[1]	[1]	1.0
[0]	[2]	0.0
[3]	[3]	1.0
[2]	[4]	0.0
[0, 1]	[1]	0.5
[1]	[1]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[3, 4]	[4]	0.5
[4]	[4]	1.0
[3]	[2]	0.0
[2]	[2]	1.0
[4]	[4]	1.0
[3]	[3]	1.0
[4]	[4]	1.0
[0]	[4]	0.0
[2]	[2]	1.0
[1, 2]	[2]	0.5
[1]	[1]	1.0
[1]	[1]	1.0
[3]	[3]	1.0
[4]	[4]	1.0
[1]	[1]	1.0
[1, 2]	[0]	0.0
[3]	[3]	1.0
[3]	[3]	1.0
[1, 4]	[1]	0.5
[2]	[2]	1.0
[3]	[2]	0.0
[1]	[1]	1.0
[2]	[2]	1.0
[3]	[3]	1.0
[1]	[4]	0.0
[3]	[3]	1.0
[3]	[3]	1.0
[1, 4]	[4]	0.5
[4]	[4]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[1]	[3]	0.0
[3]	[3]	1.0
[1]	[4]	0.0
[3]	[3]	1.0
[4]	[2]	0.0
[2]	[2]	1.0
[3]	[3]	1.0
[3]	[3]	1.0
[4]	[4]	1.0
[1]	[1]	1.0
[1]	[2]	0.0
[3]	[3]	1.0
[0]	[0]	1.0
[3]	[3]	1.0
[1]	[1]	1.0
[1]	[4]	0.0
[3]	[2]	0.0
[0, 4]	[4]	0.5
[3]	[3]	1.0
[2]	[2]	1.0
[3]	[3]	1.0
[1]	[4]	0.0
[4]	[2]	0.0
[4]	[4]	1.0
[1, 3]	[1]	0.5
[0]	[0]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[3]	[3]	1.0
[3]	[3]	1.0
[0]	[0]	1.0
[3]	[3]	1.0
[3]	[3]	1.0
[1, 3]	[3]	0.5
[4]	[4]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[4]	[4]	1.0
[0, 4]	[4]	0.5
[0]	[0]	1.0
